Name,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate,Sex Ratio of the Population,Youth and Old Age (0-14 and 65+),Youth (0-14),Old Age (65+),Both Sexes,Male,Female
Argentina,2020.0,44915858,0.4,16.4,1.68,76.3,13.2,0.98,54.6,35.6,18.9,32.8,33.9,31.6
Australia,2020.0,25467706,1.37,3.3,1.74,82.7,3.7,0.99,52.9,28.6,24.3,37.5,38.5,36.5
Austria,2020.0,8995617,0.38,109.1,1.43,81.4,4.1,0.95,50.8,21.3,29.5,44.0,45.1,43.0
Bangladesh,2020.0,162532538,0.97,1248.6,2.11,74.2,39.4,0.97,49.8,39.5,10.3,27.9,28.7,27.1
Belgium,2020.0,11602527,0.3,383.2,1.55,80.9,3.7,0.97,56.6,26.2,30.4,41.9,43.0,40.9
Brazil,2020.0,214752313,0.53,25.7,1.6,74.4,19.0,0.97,43.2,29.6,13.6,33.5,34.4,32.5
Canada,2020.0,37747300,0.76,4.2,1.44,82.9,5.2,0.98,53.4,24.3,29.1,41.8,42.9,40.7
Chile,2020.0,18578364,0.52,25.0,1.4,79.0,6.3,0.96,44.8,27.6,17.3,35.9,37.0,34.9
China,2020.0,1411361655,0.12,151.3,1.25,77.7,7.9,1.05,43.6,25.7,18.0,38.4,39.5,37.4
Colombia,2020.0,48419737,0.75,46.6,1.95,76.8,13.7,0.96,49.4,34.6,14.9,31.4,32.6,30.2
Czech Republic,2020.0,10778812,0.14,139.5,1.69,78.8,3.0,0.97,55.9,24.6,31.3,43.2,44.5,41.9
Denmark,2020.0,5837230,0.3,137.6,1.68,81.5,3.5,0.99,56.9,25.5,31.4,42.2,43.3,41.2
Egypt,2020.0,103994537,1.89,104.5,3.11,73.9,21.9,1.06,67.1,59.2,7.9,23.5,23.6,23.4
Finland,2020.0,5522887,0.16,18.2,1.38,81.8,2.3,0.98,61.7,25.3,36.4,43.3,44.9,41.7
France,2020.0,67791837,0.23,105.9,1.91,82.2,4.3,0.96,63.1,29.3,33.8,41.9,43.7,40.3
Germany,2020.0,84498245,-0.1,242.3,1.57,81.1,4.0,0.98,55.9,21.1,34.8,46.6,48.0,45.2
Greece,2020.0,10604841,-0.33,81.2,1.38,81.1,4.3,0.95,58.6,23.0,35.5,45.3,46.8,43.7
Hungary,2020.0,10026575,-0.45,111.9,1.56,75.4,5.7,0.95,54.8,22.9,31.8,43.6,45.3,41.9
India,2020.0,1369541070,1.01,460.6,2.13,70.5,34.4,1.06,48.5,38.2,10.3,28.6,29.3,28.0
Indonesia,2020.0,272856400,0.84,150.6,2.07,72.6,24.6,1.0,48.1,37.8,10.3,30.3,31.0,29.6
Iraq,2020.0,38828885,2.13,88.8,3.39,72.6,24.6,1.01,67.6,62.0,5.6,21.2,21.6,20.9
Ireland,2020.0,5030214,0.86,73.0,1.65,82.8,3.1,0.99,52.9,30.6,22.3,38.6,38.8,38.3
Israel,2020.0,8829355,1.51,410.7,2.9,82.4,3.8,1.01,65.8,46.3,19.5,29.9,30.5,29.3
Italy,2020.0,61337765,-0.26,208.5,1.19,81.6,4.1,0.93,54.5,19.7,34.9,47.0,48.0,46.0
Japan,2020.0,125135727,-0.35,343.3,1.37,84.5,2.6,0.95,70.3,21.7,48.6,48.2,49.6,46.9
Kazakhstan,2020.0,19513854,0.99,7.2,2.61,72.3,10.4,0.94,57.3,43.9,13.4,31.1,32.7,29.4
South Korea,2020.0,51880480,0.17,535.3,0.84,84.4,2.8,1.0,39.2,16.8,22.4,43.9,45.5,42.4
Malaysia,2020.0,33164013,1.08,100.9,1.78,75.6,8.3,1.05,43.6,33.2,10.4,30.2,30.3,30.1
Mexico,2020.0,128092570,0.35,65.9,1.56,71.0,13.4,0.96,49.3,37.9,11.4,29.9,30.9,28.7
Netherlands,2020.0,17400890,0.39,513.4,1.54,81.2,4.4,0.99,54.2,23.9,30.3,42.5,43.7,41.3
New Zealand,2020.0,4925334,1.39,18.6,1.87,82.1,4.3,1.0,54.2,30.3,24.0,37.2,37.9,36.4
Nigeria,2020.0,213986428,2.53,235.0,4.72,60.4,91.6,1.02,81.8,75.8,6.0,18.6,18.9,18.4
Pakistan,2020.0,233431156,2.04,302.8,3.6,69.1,72.3,1.04,67.8,60.3,7.5,22.1,22.2,22.0
Peru,2020.0,31867270,1.01,24.9,2.26,69.8,13.7,0.97,53.7,40.8,12.8,29.7,30.4,29.0
Philippines,2020.0,110461801,2.54,370.5,3.46,70.8,28.3,1.01,57.6,49.5,8.1,24.8,25.3,24.2
Poland,2020.0,38375246,-0.31,126.1,1.39,76.3,5.8,0.94,50.4,22.5,27.9,41.8,43.5,40.2
Portugal,2020.0,10288283,-0.25,112.5,1.41,81.1,3.2,0.9,52.4,20.5,31.9,44.7,46.5,42.8
Qatar,2020.0,2447179,1.44,211.2,1.9,79.3,9.8,3.39,16.4,15.0,1.4,33.8,28.2,35.0
Romania,2020.0,18986068,-1.16,82.6,1.69,74.8,7.1,0.94,58.4,25.1,33.3,43.9,45.3,42.5
Russia,2020.0,143487955,-0.44,8.8,1.51,71.3,8.6,0.87,49.4,25.8,23.6,40.5,43.3,37.8
Saudi Arabia,2020.0,34223743,1.62,15.9,1.99,76.2,14.8,1.3,39.9,34.9,5.1,30.8,27.9,33.0
Singapore,2020.0,5810285,0.97,8195.0,1.14,86.0,2.0,1.0,37.6,21.4,16.3,37.5,38.4,36.5
South Africa,2020.0,58012938,1.07,47.8,2.42,68.2,29.8,0.96,52.6,42.0,10.6,29.4,29.5,29.2
Sweden,2020.0,10382678,0.47,25.3,1.66,82.5,2.8,1.01,60.9,28.2,32.7,40.8,41.8,39.7
Switzerland,2020.0,8585698,0.74,214.7,1.52,83.1,4.2,0.99,51.7,22.7,29.0,43.5,44.3,42.7
Thailand,2020.0,69291926,0.29,135.6,1.54,77.2,9.0,0.95,41.2,23.4,17.8,39.7,40.7,38.6
Turkey,2020.0,82009212,0.45,106.6,1.96,75.7,23.4,1.01,46.4,34.1,12.3,32.3,32.9,31.8
UAE,2020.0,9792173,0.69,117.1,1.66,79.2,5.8,2.31,21.3,19.5,1.8,35.2,30.0,37.0
